Condition_1,Condition_2,Condition_3,Condition_4,Condition_5,Condition_6,EMG_Average
4.0,1.2,0.8,960.0,0.0004864741702520323,0.0018096011279507451,-3.6304855961213946e-05
5.0,0.4,0.8,320.00000000000006,0.000420617536290807,0.00015125805808753615,-5.3134974162360476e-05
6.0,0.8,0.1,80.00000000000001,0.0004583635790292688,5.467455835529451e-05,-2.9514526660689532e-05
7.0,1.0,0.1,100.0,0.0005217472980365573,6.846659737464724e-05,-3.6148923018373905e-05
8.0,1.0,0.4,400.0,0.0005172142379116793,0.00031203419181289205,-2.5345808545802385e-05
9.0,0.0,0.2,0.0,0.0004057901756066208,6.509896405801131e-06,-5.560016711887314e-05
10.0,0.8,0.4,320.00000000000006,0.000494264302850557,0.00025600416277325646,-4.257554277144217e-05
11.0,0.6,0.8,480.0,0.000497347366179285,0.00019728414825641424,-2.4733899298742504e-05
12.0,0.2,0.1,20.000000000000004,0.0003726103489472232,2.4872946929776644e-05,-5.6868603077281844e-05
13.0,1.2,0.4,480.0,0.0006790922839747706,0.00058978790446071,-6.29620992126263e-05
14.0,0.6,0.2,120.0,0.0008711208188432258,0.00013290224180536703,-5.509146834272706e-05
15.0,0.8,0.8,640.0000000000001,0.0008819472862357208,0.0002504761197250707,-6.793022628777718e-05
16.0,0.4,0.1,40.00000000000001,0.0003981766925128053,5.158478648160784e-05,2.613127666624885e-06
17.0,0.2,0.2,40.00000000000001,0.0012633073684024923,3.874513507322525e-05,-7.530148007985098e-05
18.0,0.6,0.1,60.0,0.0004082733052563335,5.280396440791066e-05,-4.6669073486461663e-07
19.0,1.0,0.2,200.0,0.0007333823118853748,0.0003284909105227814,-3.9216053974863626e-05
20.0,1.0,0.8,800.0,0.000644954067928449,0.0004712649155545292,-4.822961104615263e-05
21.0,1.2,0.1,120.0,0.0006071167037775742,0.00029174831222381916,-2.4964878702722486e-05
22.0,1.2,0.2,240.0,0.0006180209924162264,0.0003923266066650293,-3.33325769313433e-05
23.0,0.0,0.8,0.0,0.0004007618463599679,2.7610188598245313e-06,-6.039342287105496e-05
24.0,0.0,0.4,0.0,0.0006084952507158109,5.931271156268381e-06,-3.529426945978962e-05
25.0,0.4,0.2,80.00000000000001,0.00045671013748842975,5.370133818757101e-05,-3.8640762604786275e-05
26.0,0.8,0.2,160.00000000000003,0.0007107747383232519,0.0001747534776515374,-2.0663336501389997e-05
27.0,0.0,0.1,0.0,0.0006102005629789887,2.7679158987655137e-06,-1.4103680747113555e-05
28.0,0.4,0.4,160.00000000000003,0.0004990991778367515,0.00010738634801360611,-5.1564905294871805e-05
1.0,0.4,0.4,160.00000000000003,0.0027008984659125583,8.564796038592378e-07,-0.0004038035177838798
2.0,0.0,0.8,0.0,0.002875255668989319,1.0640557300881186e-06,-0.00023125823451492118
3.0,0.0,0.4,0.0,0.0020474559661938833,9.382288134261725e-07,0.0001392840244322115
4.0,1.0,0.8,800.0,0.0019501273241325865,1.1259524987977714e-06,-0.00031956144057084483
5.0,0.2,0.8,160.00000000000003,0.001974427995836565,9.996052347334323e-07,0.0005408046088259807
6.0,1.2,0.4,480.0,0.0025188926221141753,1.9932703073018436e-06,0.00021306933863886004
7.0,0.6,0.1,60.0,0.0017720758369898088,1.1196608217552905e-06,-0.00020177089634285493
